rk ,squad ,mp ,w ,d ,l ,gf ,ga ,gd ,pts ,pts/mp ,xg ,xga ,xgd ,xgd/90 ,attendance ,top_scorer,top_scorer_goals,goalkeeper 
1, Manchester City,38,28,7,3,96,34,62,91,2.3900000000000001,80.5,35.600000000000001,44.899999999999999,1.1799999999999999,53012,Erling Haaland,27,Ederson
2, Arsenal,38,28,5,5,91,29,62,89,2.3399999999999999,76.099999999999994,27.899999999999999,48.200000000000003,1.27,60236,Bukayo Saka,16,David Raya
3, Liverpool,38,24,10,4,86,41,45,82,2.1600000000000001,87.799999999999997,45.700000000000003,42,1.1100000000000001,55979,Mohamed Salah,18,Alisson
4, Aston Villa,38,20,8,10,76,61,15,68,1.79,63.299999999999997,59.899999999999999,3.3999999999999999,0.089999999999999997,41858,Ollie Watkins,19,Emiliano Martínez
5, Tottenham,38,20,6,12,74,61,13,66,1.74,68.200000000000003,63.399999999999999,4.7999999999999998,0.13,61482,Son Heung-min,17,Guglielmo Vicario
6, Chelsea,38,18,9,11,77,63,14,63,1.6599999999999999,74.5,58.100000000000001,16.399999999999999,0.42999999999999999,39524,Cole Palmer,22,Đorđe Petrović
7, Newcastle United,38,18,6,14,85,62,23,60,1.5800000000000001,76,61.399999999999999,14.6,0.38,52125,Alexander Isak,21,Martin Dúbravka
8, Manchester United,38,18,6,14,57,58,-1,60,1.5800000000000001,56.5,68.900000000000006,-12.5,-0.33000000000000002,73533,"Rasmus Højlund, Bruno Fernandes",10,André Onana
9, West Ham United,38,14,10,14,60,74,-14,52,1.3700000000000001,52.299999999999997,71.099999999999994,-18.800000000000001,-0.48999999999999999,62567,Jarrod Bowen,16,Alphonse Areola
10, Crystal Palace,38,13,10,15,57,58,-1,49,1.29,48.600000000000001,52,-3.3999999999999999,-0.089999999999999997,24932,Jean-Philippe Mateta,16,Sam Johnstone
11, Brighton,38,12,12,14,55,62,-7,48,1.26,56.799999999999997,55.399999999999999,1.3999999999999999,0.040000000000000001,32638,João Pedro,9,Bart Verbruggen
12, Bournemouth,38,13,9,16,54,67,-13,48,1.26,55.899999999999999,58.100000000000001,-2.2000000000000002,-0.059999999999999998,11103,Dominic Solanke,19,Neto
13, Fulham,38,13,8,17,55,61,-6,47,1.24,50.799999999999997,62.899999999999999,-12.1,-0.32000000000000001,24302,Rodrigo Muniz,9,Bernd Leno
14, Wolves,38,13,7,18,50,65,-15,46,1.21,46.700000000000003,67.700000000000003,-21,-0.55000000000000004,31029,"Hwang Hee-chan, Matheus Cunha",12,José Sá
15, Everton,38,13,9,16,40,51,-11,40,1.05,54,55.200000000000003,-1.2,-0.029999999999999999,39042,"Abdoulaye Doucouré, Dominic Calvert-Lewin",7,Jordan Pickford
16, Brentford,38,10,9,19,56,65,-9,39,1.03,58.200000000000003,56,2.2000000000000002,0.059999999999999998,17082,Yoane Wissa,12,Mark Flekken
17, Nottingham Forest,38,9,9,20,49,67,-18,32,0.83999999999999997,49.899999999999999,53.299999999999997,-3.3999999999999999,-0.089999999999999997,29386,Chris Wood,14,Matt Turner
18, Luton Town,38,6,8,24,52,85,-33,26,0.68000000000000005,42.399999999999999,78,-35.5,-0.93999999999999995,11240,Carlton Morris,11,Thomas Kaminski
19, Burnley,38,5,9,24,41,78,-37,24,0.63,40.600000000000001,70.400000000000006,-29.699999999999999,-0.78000000000000003,21184,Jacob Bruun Larsen,6,James Trafford
20, Sheffield United,38,3,7,28,35,104,-69,16,0.41999999999999998,38.299999999999997,76.599999999999994,-38.299999999999997,-1.01,30011,"Oliver McBurnie, Ben Brereton",6,Wes Foderingham
,,,,,,,,,,,,,,,,,
